Model,Dataset,ROC/AUC,F1
TranAD,SMAP,0.9882686605646513,0.8915325929177795
TranAD,MSL,0.9915557830092119,0.9494589959667135
TranAD,SWaT,0.8438293151731888,0.8143333893087685
TranAD,WADI,0.9000375301480807,0.5390835522086467
TranAD,SMD,0.9934187968484415,0.9501646809886324
TranAD,MSDS,N/A,N/A
TranAD,MBA,0.9884842519685039,0.9779901087923154
TranAD,UCR,0.9993954050785974,0.9694272344415663
TranAD,NAB,0.999625748502994,0.9411711188269714
GDN,SMAP,0.9900734820162435,0.9066616992594173
GDN,MSL,0.9902763561924258,0.9422442281838926
GDN,SWaT,0.8462191080768154,0.8101217030529887
GDN,WADI,Timeout,Timeout
GDN,SMD,N/A,N/A
GDN,MSDS,N/A,N/A
GDN,MBA,0.952755905511811,0.9154879902570316
GDN,UCR,0.49179478320953535,0.0
GDN,NAB,0.5,0.0
MAD_GAN,SMAP,0.9891066133814619,0.8984935392457504
MAD_GAN,MSL,0.9861821903787104,0.9198763104636554
MAD_GAN,SWaT,0.845645187048349,0.8064757604839742
MAD_GAN,WADI,0.8869802156142637,0.1729503048733081
MAD_GAN,SMD,0.998648922371454,0.9983061240740632
MAD_GAN,MSDS,N/A,N/A
MAD_GAN,MBA,0.9835629921259842,0.9688789215096818
MAD_GAN,UCR,0.9959405769562963,0.8252739017158262
MAD_GAN,NAB,0.5,0.0
MTAD_GAT,SMAP,0.9840788964805981,0.8582853946611677
MTAD_GAT,MSL,Timeout,Timeout
MTAD_GAT,SWaT,0.8465634606938955,0.8123251350231331
MTAD_GAT,WADI,N/A,N/A
MTAD_GAT,SMD,Timeout,Timeout
MTAD_GAT,MSDS,Timeout,Timeout
MTAD_GAT,MBA,0.9721456692913386,0.9483809300036419
MTAD_GAT,UCR,0.49196752461565035,0.0
MTAD_GAT,NAB,0.5,0.0
MSCRED,SMAP,Timeout,Timeout
MSCRED,MSL,Timeout,Timeout
MSCRED,SWaT,0.8385093167701863,0.8074025779436541
MSCRED,WADI,Timeout,Timeout
MSCRED,SMD,Timeout,Timeout
MSCRED,MSDS,Timeout,Timeout
MSCRED,MBA,0.9792322834645669,0.9610003635297677
MSCRED,UCR,0.9919675246156503,0.7047572958722873
MSCRED,NAB,0.8329590818363273,0.7441807680154827
USAD,SMAP,0.988977697563491,0.8974155577699539
USAD,MSL,0.9795291709314227,0.8857093257417759
USAD,SWaT,0.8438293151731888,0.8143333893087685
USAD,WADI,0.8753070479777219,0.32088878188937753
USAD,SMD,0.9933994260131711,0.9499950079145896
USAD,MSDS,N/A,N/A
USAD,MBA,0.9700787401574803,0.9447624537069212
USAD,UCR,0.4917084125064778,0.0
USAD,NAB,0.8329590818363273,0.7441807680154827
OmniAnomaly,SMAP,0.988075286837695,0.8899415104382377
OmniAnomaly,MSL,0.9782497441146367,0.879427671875096
OmniAnomaly,SWaT,0.8465634606938955,0.8123251350231331
OmniAnomaly,WADI,0.824816751035271,0.7092341466778845
OmniAnomaly,SMD,0.9986689686801701,0.993651712853043
OmniAnomaly,MSDS,N/A,N/A
OmniAnomaly,MBA,0.9588582677165354,0.9255913220259655
OmniAnomaly,UCR,0.4928312316462256,0.0
OmniAnomaly,NAB,0.8329590818363273,0.7441807680154827
LSTM_AD,SMAP,0.8601866590741913,0.7879173752084457
LSTM_AD,MSL,0.9531729785056295,0.7720998482011848
LSTM_AD,SWaT,0.5052052141973091,0.02143923744889614
LSTM_AD,WADI,0.4990226276507523,0.0
LSTM_AD,SMD,0.5,0.0
LSTM_AD,MSDS,N/A,N/A
LSTM_AD,MBA,0.9589566929133858,0.9257561067158515
LSTM_AD,UCR,0.9999136292969425,0.9955106059090101
LSTM_AD,NAB,0.8322105788423153,0.6530559600550158